,tree_id,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass,init_time,init_snap,inf_time,inf_snap,rs,rhos
152,501,-389.51123,-159.08887,268.79688,303.78784,138.75618,-346.95502,0.08120039020944635,6.980079740079797,57,7.435457580781714,60,1.0519575715426963,34163775.82018559
153,503,67.11133,-250.39453,-83.31445,329.89688,381.57712,-53.191612,0.07150803615922312,6.176295889028056,52,6.176295889028056,52,1.5089190911314108,11360240.583543032
154,505,139.8794,135.50781,59.86914,-123.842964,21.914051,-261.83597,0.20477792084797808,2.528971749262569,28,3.1179038030602504,32,3.162780212125597,6522609.764716078
155,507,346.2578,238.19629,19.990234,57.22752,-182.28976,-53.249855,0.06940802611500808,6.176295889028056,52,7.296498182351309,59,0.8923087051945013,39667192.83579852
156,509,12.822266,116.6084,-85.302734,-150.49518,-15.661532,-160.47163,0.17527008007366043,2.136877449159822,25,3.1179038030602504,32,1.5042132570267115,34183677.495220445
157,513,-424.26367,-153.52637,-5.2929688,272.5503,59.27501,-189.32288,0.06633878066577072,4.279277819981846,40,5.273362816372702,46,1.3106340773359524,18735715.883326005
158,514,-225.68701,-34.179688,135.42188,428.04407,142.14474,51.219723,0.10753129087861464,4.965495393526235,44,5.100321072369769,45,1.547326707564014,14764174.694355113
159,517,-35.95117,42.208008,-119.234375,124.729004,-17.13934,-66.82231,8.803081259039041,2.6745885931843203,29,2.9697302481753507,31,7.608084845996179,18605066.277208343
160,523,203.82593,-162.31152,86.37012,-248.23842,225.03792,0.40850735,0.05185409416869428,3.1179038030602504,32,3.731898415274796,36,1.6151858853977001,10340311.187878808
161,524,-223.86182,-636.47656,-428.0332,10.63312,87.72924,149.2186,0.20736254859470427,2.9697302481753507,31,7.114347722585295,58,1.6464727504436591,24197222.206444625
162,527,-131.84595,301.3418,-165.14062,228.7817,-18.024618,-141.63055,0.2850629092318701,2.528971749262569,28,4.642161998661766,42,4.413886336955892,3856193.1158917774
163,530,310.25317,179.01855,2.3203125,-246.5709,132.37695,-16.368923,0.05589258052234914,4.024363722579251,38,4.642161998661766,42,1.107325716733328,29495845.021439698
164,531,-238.47949,92.41699,-53.219727,255.47552,-10.129516,-183.14677,14.674709298669113,3.2730853173741568,33,3.731898415274796,36,8.970218326071079,14341666.447503747
165,532,-24.83252,-461.14258,-80.375,-135.48238,349.29126,-16.635195,0.13617758540442676,6.176295889028056,52,7.114347722585295,58,0.8569314279973121,62906120.71144224
166,534,213.66699,-629.0166,367.12207,32.10623,233.10847,-233.08536,0.11318516407457818,4.279277819981846,40,6.33884021811047,53,2.0936496515569045,9950100.80394822
167,535,122.84424,-295.41406,198.53516,-268.21506,137.28702,-325.1754,0.06563877915083077,6.056697650557152,51,6.674596095958185,55,1.5288979902784856,12243616.141277613
168,536,-253.65576,70.76953,-56.851562,315.17694,145.61838,126.66222,0.3566786510457956,3.731898415274796,36,4.192701039587177,39,3.085995069989195,9791276.570505608
169,538,23.26001,-404.30273,361.35742,-57.175266,136.54631,-165.83456,0.05034639648290239,1.8042623342638673,23,5.861713277008011,50,0.9062013832159337,49705214.43798297
170,545,-30.592041,112.92676,-57.524414,63.16567,132.38799,291.06934,0.16299309827671102,3.1179038030602504,32,3.1179038030602504,32,2.211177396700679,10787310.12631063
171,547,-444.4944,-217.95801,12.407227,250.33269,95.98244,-146.45915,0.075331133201054,4.024363722579251,38,5.415456570160442,47,1.085778613464122,30200593.03291969
172,557,-246.83057,65.57715,-121.96094,364.45563,64.94877,-213.20929,0.06687724844593547,3.580853121612739,35,4.024363722579251,38,1.2858168280173055,22545323.665126376
173,558,262.9121,-456.11914,-549.63477,-93.84172,165.54904,105.0268,0.24543195778126206,3.580853121612739,35,6.056697650557152,51,2.7316140046227697,9992527.202328453
174,560,-168.2461,-155.33789,-191.91211,251.21815,292.6635,324.47305,0.35344786636238784,7.114347722585295,58,7.114347722585295,58,2.6086843678750617,8950544.611846378
175,565,-264.46338,-608.81445,-359.11084,111.44432,83.00849,45.167496,0.2640089587120662,2.136877449159822,25,7.435457580781714,60,2.976468214541744,10712034.658759946
176,566,-58.979736,-95.2334,-89.05469,35.345432,311.1351,305.3267,0.055246423585667594,3.1179038030602504,32,3.2730853173741568,33,0.8886058221131053,46374891.66143187
